name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Matewan,PG-13,Drama,1987,"August 28, 1987 (United States)",7.9,7500,John Sayles,John Sayles,Chris Cooper,United States,4000000,1680358,Cinecom Entertainment Group,135
Pelle the Conqueror,PG-13,Drama,1987,"December 21, 1988 (United States)",7.8,10000,Bille August,Martin Andersen Nexø,Pelle Hvenegaard,Denmark,,2063688,Per Holst Filmproduktion,157
Suspect,R,Crime,1987,"October 23, 1987 (United States)",6.6,9600,Peter Yates,Eric Roth,Cher,United States,14500000,18782400,TriStar Pictures,121
The Fourth Protocol,R,Thriller,1987,"August 28, 1987 (United States)",6.6,9200,John Mackenzie,George Axelrod,Michael Caine,United Kingdom,6000000,12423831,Fourth Protocol,119
The Chipmunk Adventure,G,Animation,1987,"May 22, 1987 (United States)",7.2,5200,Janice Karman,Janice Karman,Ross Bagdasarian Jr.,United States,,6804312,Bagdasarian Productions,77
The Allnighter,PG-13,Comedy,1987,"May 1, 1987 (United States)",4.2,1200,Tamar Simon Hoffs,Tamar Simon Hoffs,Susanna Hoffs,United States,,2700000,Aurora Productions LLC,108
Prom Night II,R,Horror,1987,"October 16, 1987 (United States)",5.7,5600,Bruce Pittman,Ron Oliver,Lisa Schrage,Canada,,2683519,British Columbia Television,97
Hiding Out,PG-13,Comedy,1987,"November 6, 1987 (United States)",6.4,3500,Bob Giraldi,Joe Menosky,Jon Cryer,United States,7000000,7019441,De Laurentiis Entertainment Group (DEG),98
White Water Summer,PG,Adventure,1987,"July 10, 1987 (United States)",6.2,5200,Jeff Bleckner,Manya Starr,Kevin Bacon,United States,,300859,Columbia Pictures,90
Made in Heaven,PG,Comedy,1987,"November 6, 1987 (United States)",6.4,3200,Alan Rudolph,Bruce A. Evans,Timothy Hutton,United States,13000000,4572845,Lorimar Motion Pictures,103
Best Seller,R,Action,1987,"September 25, 1987 (United States)",6.5,5000,John Flynn,Larry Cohen,James Woods,United States,,4278150,Hemdale,95
Date with an Angel,PG,Comedy,1987,"November 20, 1987 (United States)",5.7,2600,Tom McLoughlin,Tom McLoughlin,Michael E. Knight,United States,8000000,1988962,De Laurentiis Entertainment Group (DEG),105
Hunk,PG,Comedy,1987,"March 6, 1987 (United States)",4.7,1300,Lawrence Bassoff,Lawrence Bassoff,John Allen Nelson,United States,,1749956,Marimark Productions,102
Real Men,PG-13,Action,1987,"September 25, 1987 (United States)",6.1,3900,Dennis Feldman,Dennis Feldman,Jim Belushi,United States,,873903,United Artists,85
Critical Condition,R,Comedy,1987,"January 16, 1987 (United States)",5.4,3200,Michael Apted,Denis Hamill,Richard Pryor,United States,14000000,20240502,Paramount Pictures,97
A Month in the Country,PG,Drama,1987,"December 4, 1987 (United Kingdom)",6.9,1500,Pat O'Connor,Simon Gray,Colin Firth,United Kingdom,,,Channel Four Films,96
Outrageous Fortune,R,Comedy,1987,"January 30, 1987 (United States)",6.2,7600,Arthur Hiller,Leslie Dixon,Shelley Long,United States,,52864741,Touchstone Pictures,99
Like Father Like Son,PG-13,Comedy,1987,"October 2, 1987 (United States)",5.2,5700,Rod Daniel,Lorne Cameron,Dudley Moore,United States,10500000,34377585,Imagine Films Entertainment,100
Steel Dawn,R,Action,1987,"March 31, 1988 (South Africa)",5.1,4700,Lance Hool,Doug Lefler,Patrick Swayze,United States,3520000,562187,Independent Film Centre,100
Tin Men,R,Comedy,1987,"March 13, 1987 (United States)",6.6,8000,Barry Levinson,Barry Levinson,Richard Dreyfuss,United States,11000000,25411386,Touchstone Pictures,112
The Big Town,R,Drama,1987,"September 25, 1987 (United States)",5.9,1800,Ben Bolt,Clark Howard,Matt Dillon,United States,,1733017,Albacore Productions Inc.,109
Light of Day,PG-13,Drama,1987,"February 6, 1987 (United States)",5.6,2600,Paul Schrader,Paul Schrader,Michael J. Fox,United States,,10489617,TAFT Entertainment Pictures,107
Prison,R,Crime,1987,"December 8, 1987 (United Kingdom)",5.8,4000,Renny Harlin,Irwin Yablans,Lane Smith,United States,4000000,345704,Empire Pictures,102
Wish You Were Here,R,Comedy,1987,"July 24, 1987 (United States)",6.8,2700,David Leland,David Leland,Emily Lloyd,United Kingdom,,3283832,Channel Four Films,88
Gandahar,PG,Animation,1987,"September 20, 1989 (United States)",7.1,4500,René Laloux,René Laloux,Glenn Close,France,,370698,Col.Ima.Son,78
Street Smart,R,Crime,1987,"March 20, 1987 (United States)",6.4,2900,Jerry Schatzberg,David Freeman,Christopher Reeve,United States,5000000,1119112,Golan-Globus Productions,97
The Curse,R,Horror,1987,"September 14, 1988 (Spain)",5.1,2900,David Keith,David Chaskin,Wil Wheaton,Italy,,1930001,Trans World Entertainment (TWE),92
The House on Carroll Street,PG,Thriller,1987,1987 (United States),6.1,2300,Peter Yates,Walter Bernstein,Kelly McGillis,United States,14000000,459824,Orion Pictures,101
The Whales of August,Not Rated,Drama,1987,"August 19, 1987 (France)",7.3,4400,Lindsay Anderson,David Berry,Bette Davis,United States,,1338198,Alive Films,90
Prick Up Your Ears,R,Biography,1987,"May 8, 1987 (United States)",7.3,5700,Stephen Frears,John Lahr,Gary Oldman,United Kingdom,,1672927,Zenith Entertainment,105
The Principal,R,Action,1987,"September 18, 1987 (United States)",6.3,9300,Christopher Cain,Frank Deese,Jim Belushi,United States,11000000,19734940,TriStar Pictures,109
American Ninja 2: The Confrontation,R,Action,1987,"May 1, 1987 (United States)",4.9,8200,Sam Firstenberg,Avi Kleinberger,Michael Dudikoff,United States,350000,4000000,Golan-Globus Productions,90
Housekeeping,PG,Comedy,1987,"February 5, 1988 (Sweden)",7.2,2300,Bill Forsyth,Marilynne Robinson,Christine Lahti,United States,,1083282,Columbia Pictures,116
A Prayer for the Dying,R,Action,1987,"September 11, 1987 (United States)",6.3,4800,Mike Hodges,Jack Higgins,Mickey Rourke,United Kingdom,6000000,1432687,The Samuel Goldwyn Company,107
Slam Dance,R,Crime,1987,"October 2, 1987 (United States)",5.3,1400,Wayne Wang,Don Keith Opper,Tom Hulce,United Kingdom,4500000,406881,Zenith Entertainment,92
Rampage,R,Drama,1987,"October 30, 1992 (United States)",6.2,2000,William Friedkin,William P. Wood,Michael Biehn,United States,7500000,796368,De Laurentiis Entertainment Group (DEG),97
The Sicilian,R,Action,1987,"October 23, 1987 (United States)",5.4,4800,Michael Cimino,Mario Puzo,Christopher Lambert,United States,9000000,5406879,Gladden Entertainment,115
"Silent Night, Deadly Night Part 2",R,Horror,1987,"April 10, 1987 (United States)",3.8,6400,Lee Harry,Michael Hickey,Eric Freeman,United States,100000,,Silent Night Releasing Corporation,88
Creepozoids,R,Horror,1987,"October 2, 1987 (United States)",4,2100,David DeCoteau,Dave Eisenstark,Linnea Quigley,United States,75000,,Titan Productions,72
The Outing,R,Horror,1987,"November 21, 1987 (Japan)",5.1,1600,Tom Daley,Warren Chaney,Deborah Winters,United States,2000000,1083395,H.I.T. Films,87
Nightflyers,R,Horror,1987,"April 7, 1988 (Australia)",4.3,1100,Robert Collector,George R.R. Martin,Catherine Mary Stewart,United States,,1149470,Vista Organization,89
Fatal Beauty,R,Action,1987,"October 30, 1987 (United States)",5.4,3400,Tom Holland,Bill Svanoe,Whoopi Goldberg,United States,,12046526,Metro-Goldwyn-Mayer (MGM),104
Siesta,R,Drama,1987,"November 11, 1987 (United States)",5.6,2100,Mary Lambert,Patrice Chaplin,Ellen Barkin,United States,,700000,Lorimar Motion Pictures,97
Leonard Part 6,PG,Action,1987,"December 18, 1987 (United States)",2.2,7900,Paul Weiland,Jonathan Reynolds,Bill Cosby,United States,24000000,4615255,Columbia Pictures,85
Boyfriends and Girlfriends,PG,Comedy,1987,"July 15, 1988 (United States)",7.6,4300,Éric Rohmer,Éric Rohmer,Emmanuelle Chaulet,France,,824024,Les Films du Losange,103
White Mischief,R,Crime,1987,"May 6, 1988 (United States)",6.3,2600,Michael Radford,James Fox,Sarah Miles,United Kingdom,5300000,3107551,Columbia Pictures,107
White of the Eye,R,Horror,1987,"June 19, 1987 (United Kingdom)",6.2,2200,Donald Cammell,China Kong,David Keith,United Kingdom,,,Mrs. White's Productions,110
Hot Pursuit,PG-13,Comedy,1987,"May 8, 1987 (United States)",5.8,3500,Steven Lisberger,Steven Lisberger,John Cusack,United States,,4215849,RKO Pictures,93
Hollywood Shuffle,R,Comedy,1987,"March 20, 1987 (United States)",7,5200,Robert Townsend,Dom Irrera,Robert Townsend,United States,100000,5228617,Conquering Unicorn,78
The Dead,PG,Drama,1987,"December 18, 1987 (United States)",7.3,7300,John Huston,James Joyce,Anjelica Huston,United Kingdom,,4370078,Vestron Pictures,83
Gardens of Stone,R,Drama,1987,"May 8, 1987 (United States)",6.4,5200,Francis Ford Coppola,Nicholas Proffitt,James Caan,United States,,5262047,TriStar Pictures,111
Nuts,R,Drama,1987,"December 11, 1987 (United States)",6.6,6000,Martin Ritt,Tom Topor,Barbra Streisand,United States,25000000,30950002,Warner Bros.,116
Four Adventures of Reinette and Mirabelle,Not Rated,Comedy,1987,"July 19, 1989 (United States)",7.6,2200,Éric Rohmer,Éric Rohmer,Joëlle Miquel,France,,22039,Compagnie Eric Rohmer (CER),99
Walk Like a Man,PG,Comedy,1987,"April 17, 1987 (United States)",4.8,1400,Melvin Frank,Robert Klane,Christopher Lloyd,United States,,,Metro-Goldwyn-Mayer (MGM),86
Cross My Heart,R,Comedy,1987,"November 13, 1987 (United States)",5.7,999,Armyan Bernstein,Armyan Bernstein,Martin Short,United States,,1025762,Northern,90
Walker,R,Biography,1987,"December 4, 1987 (United States)",6.6,3300,Alex Cox,Rudy Wurlitzer,Ed Harris,United States,5800000,,In-Cine Compañía Industrial Cinematográfica,94
Malone,R,Action,1987,"May 1, 1987 (United States)",5.7,2800,Harley Cokeliss,Christopher Frank,Burt Reynolds,United States,10000000,3060858,Orion Pictures,92
Making Mr. Right,PG-13,Comedy,1987,"April 3, 1987 (United States)",5.4,2500,Susan Seidelman,Floyd Byars,John Malkovich,United States,,1584970,Barry & Enright Productions,98
Return to Horror High,R,Comedy,1987,"February 20, 1987 (United States)",4.3,3100,Bill Froehlich,Bill Froehlich,Lori Lethin,United States,,1189709,Balcor Film Investors,95
Straight to Hell,R,Action,1987,"June 26, 1987 (United States)",5.7,2300,Alex Cox,Alex Cox,Sy Richardson,United Kingdom,1000000,210200,Commies From Mars Corporation,86
Hello Again,PG,Comedy,1987,"November 6, 1987 (United States)",5.3,3200,Frank Perry,Susan Isaacs,Shelley Long,United States,,20419446,Touchstone Pictures,96
Promised Land,R,Drama,1987,"January 22, 1988 (United States)",5.7,1200,Michael Hoffman,Michael Hoffman,Jason Gedrick,United States,,316199,Great American Films Limited Partnership,102
Dead of Winter,R,Drama,1987,"February 6, 1987 (United States)",6.2,3700,Arthur Penn,Marc Shmuger,Mary Steenburgen,United States,,2413427,Metro-Goldwyn-Mayer (MGM),100
"No Retreat, No Surrender 2",R,Adventure,1987,"January 27, 1989 (United States)",5.1,1600,Corey Yuen,Maria Elena Cellino,Loren Avedon,Hong Kong,,,Seasonal Film Corporation,92
My Demon Lover,PG-13,Comedy,1987,"April 24, 1987 (United States)",4.6,1200,Charlie Loventhal,Leslie Ray,Scott Valentine,United States,,3922273,New Line Cinema,90
China Girl,R,Crime,1987,"September 25, 1987 (United States)",6.2,1700,Abel Ferrara,Nicholas St. John,James Russo,United States,,1262091,Great American Films Limited Partnership,90
Five Corners,R,Crime,1987,May 1988 (United Kingdom),6.2,3100,Tony Bill,John Patrick Shanley,Jodie Foster,United Kingdom,5500000,969205,Cineplex Odeon Films,90
The Squeeze,PG-13,Action,1987,"July 10, 1987 (United States)",4.7,1100,Roger Young,Daniel Taplitz,Michael Keaton,United States,19000000,2228951,TriStar Pictures,101
Nadine,PG,Comedy,1987,"August 7, 1987 (United States)",5.5,3800,Robert Benton,Robert Benton,Jeff Bridges,United States,12000000,5669831,TriStar Pictures,83
Personal Services,R,Comedy,1987,"May 15, 1987 (United States)",6.4,1400,Terry Jones,David Leland,Julie Walters,United Kingdom,19897678,1744164,British Screen Productions,105
Cyclone,R,Action,1987,"June 5, 1987 (United States)",4.5,882,Fred Olen Ray,Paul Garson,Heather Thomas,United States,,,Cinetel Films,89
Three for the Road,PG,Drama,1987,"July 24, 1987 (Philippines)",5.3,997,Bill Norton,Richard Martini,Charlie Sheen,United States,,1539000,Vista Organization,88
Little Dorrit,G,Drama,1987,"October 21, 1988 (United States)",7.3,1000,Christine Edzard,Charles Dickens,Derek Jacobi,United Kingdom,,1025228,Sands,357
The Year My Voice Broke,PG-13,Drama,1987,"October 17, 1987 (United States)",7.4,2000,John Duigan,John Duigan,Noah Taylor,Australia,,213901,Kennedy Miller Productions,103
The Belly of an Architect,R,Drama,1987,"October 16, 1987 (United Kingdom)",7,5500,Peter Greenaway,Peter Greenaway,Brian Dennehy,United Kingdom,,,Callender Company,119
Pass the Ammo,R,Comedy,1987,"March 4, 1988 (United States)",6.1,512,David Beaird,Joel Cohen,Bill Paxton,United States,,169785,The Vista Organisation,93
In the Mood,PG-13,Comedy,1987,"September 16, 1987 (United States)",6.2,905,Phil Alden Robinson,Robert Kosberg,Patrick Dempsey,United States,7000000,999382,Kings Road Entertainment,98
Surrender,PG,Comedy,1987,"October 9, 1987 (United States)",5.4,872,Jerry Belson,Jerry Belson,Sally Field,United States,15000000,5711976,The Cannon Group,105
Intervista,,Comedy,1987,"November 6, 1992 (United States)",7,2500,Federico Fellini,Federico Fellini,Sergio Rubini,Italy,,138608,Aljosha,105
Square Dance,PG-13,Drama,1987,"January 9, 1988 (Japan)",5.9,878,Daniel Petrie,Alan Hines,Jason Robards,United States,,225358,Island Pictures,112
Shy People,R,Drama,1987,"March 11, 1988 (United States)",6.7,1200,Andrey Konchalovskiy,Andrey Konchalovskiy,Jill Clayburgh,United States,,,The Cannon Group,118
A Man in Love,R,Drama,1987,September 1987 (United States),5.9,541,Diane Kurys,Diane Kurys,Peter Coyote,France,,949451,Alexandre Films,125
Disorderlies,PG,Comedy,1987,"August 14, 1987 (United States)",5,2100,Michael Schultz,Mark Feldberg,Darren Robinson,United States,,10348437,Warner Bros.,86
Anguish,R,Horror,1987,"January 8, 1988 (United States)",6.7,3500,Bigas Luna,Bigas Luna,Zelda Rubinstein,Spain,,,Luna Films,89
September,PG,Drama,1987,"December 18, 1987 (United States)",6.5,9300,Woody Allen,Woody Allen,Elaine Stritch,United States,10000000,486434,Jack Rollins & Charles H. Joffe Productions,83
Oci ciornie,,Comedy,1987,"November 6, 1987 (United States)",7.4,3000,Nikita Mikhalkov,Aleksandr Adabashyan,Marcello Mastroianni,Italy,,2201428,Excelsior Film-TV,118
Burglar,R,Comedy,1987,"March 20, 1987 (United States)",5.2,4200,Hugh Wilson,Lawrence Block,Whoopi Goldberg,Canada,,16337355,Nelvana,103
The Kindred,R,Horror,1987,"January 30, 1987 (Canada)",5.6,1700,Stephen Carpenter,Stephen Carpenter,Rod Steiger,United States,,2407024,Kindred Limited Partnership,91
Julia and Julia,R,Drama,1987,"February 5, 1988 (United States)",5.6,771,Peter Del Monte,Peter Del Monte,Kathleen Turner,Italy,,901364,RAI Radiotelevisione Italiana,98
Russkies,PG,Drama,1987,"November 6, 1987 (United States)",5.6,1400,Rick Rosenthal,Sheldon Lettich,Whip Hubley,United States,,2189047,New Century Entertainment Corporation,99
"Sister, Sister",R,Drama,1987,"February 9, 1988 (United States)",5.4,834,Bill Condon,Bill Condon,Eric Stoltz,United States,4000000,743445,New World Entertainment Films,91
From the Hip,PG,Comedy,1987,"February 6, 1987 (United States)",6.2,2200,Bob Clark,Bob Clark,Judd Nelson,United States,,9518342,De Laurentiis Entertainment Group (DEG),111
Death Before Dishonor,R,Action,1987,"February 20, 1987 (United States)",4.9,862,Terry Leonard,John Gatliff,Fred Dryer,United States,,4546244,Balcor Film Investors,91
Cold Steel,R,Action,1987,"April 9, 1988 (Japan)",4.5,697,Dorothy Ann Puzo,Lisa M. Hansen,Brad Davis,United States,,285885,Cinetel Films,91
Million Dollar Mystery,PG,Comedy,1987,"June 12, 1987 (United States)",5.1,390,Richard Fleischer,Tim Metcalfe,Eddie Deezen,United States,10000000,989033,De Laurentiis Entertainment Group (DEG),95
The Glass Menagerie,PG,Drama,1987,"May 27, 1987 (France)",7.1,1900,Paul Newman,Tennessee Williams,Joanne Woodward,United States,,895904,Cineplex Odeon Films,134
Anna,PG-13,Drama,1987,"November 28, 1987 (United States)",6.5,639,Yurek Bogayevicz,Yurek Bogayevicz,Sally Kirkland,United States,,1236848,Magnus Films,100
Die Hard,R,Action,1988,"July 20, 1988 (United States)",8.2,810000,John McTiernan,Roderick Thorp,Bruce Willis,United States,28000000,141603197,Twentieth Century Fox,132
Midnight Run,R,Action,1988,"July 20, 1988 (United States)",7.5,79000,Martin Brest,George Gallo,Robert De Niro,United States,30000000,81613606,Universal Pictures,126
Beetlejuice,PG,Comedy,1988,"March 30, 1988 (United States)",7.5,270000,Tim Burton,Michael McDowell,Alec Baldwin,United States,15000000,74270074,The Geffen Company,92
Big,PG,Comedy,1988,"June 3, 1988 (United States)",7.3,205000,Penny Marshall,Gary Ross,Tom Hanks,United States,18000000,151927281,American Entertainment Partners II L.P.,104
Rain Man,R,Drama,1988,"December 16, 1988 (United States)",8,483000,Barry Levinson,Barry Morrow,Dustin Hoffman,United States,25000000,354825435,United Artists,133
Running on Empty,PG-13,Crime,1988,"September 9, 1988 (United States)",7.7,15000,Sidney Lumet,Naomi Foner,River Phoenix,United States,7000000,2847941,Double Play,116
They Live,R,Action,1988,"November 4, 1988 (United States)",7.3,117000,John Carpenter,Ray Nelson,Roddy Piper,United States,4000000,13008928,Alive Films,94
Willow,PG,Action,1988,"May 20, 1988 (United States)",7.3,103000,Ron Howard,George Lucas,Val Kilmer,United Kingdom,35000000,57269863,Metro-Goldwyn-Mayer (MGM),126
Crocodile Dundee II,PG,Action,1988,"May 25, 1988 (United States)",5.6,55000,John Cornell,Paul Hogan,Paul Hogan,Australia,14000000,239606210,Paramount Pictures,108
Heathers,R,Comedy,1988,"March 31, 1989 (United States)",7.2,92000,Michael Lehmann,Daniel Waters,Winona Ryder,United States,3000000,1163969,New World Pictures,103
Coming to America,R,Comedy,1988,"June 29, 1988 (United States)",7.1,196000,John Landis,Eddie Murphy,Eddie Murphy,United States,39000000,288752301,Paramount Pictures,117
Who Framed Roger Rabbit,PG,Animation,1988,"June 22, 1988 (United States)",7.7,187000,Robert Zemeckis,Gary K. Wolf,Bob Hoskins,United States,70000000,329803958,Touchstone Pictures,104
Mystic Pizza,R,Comedy,1988,"October 21, 1988 (United States)",6.3,27000,Donald Petrie,Amy Holden Jones,Annabeth Gish,United States,6000000,12793213,Night Life Inc.,104
